fi_rate_11,fips,state_name,fi_rate_12,fi_rate_13,fi_rate_18,fi_rate_17,fi_rate_16,fi_rate_15,fi_rate_14,fi_rate_10,fi_rate_09
19.4974118940438,1,Alabama,18.5695920571096,18.800626101377,17.719402985074627,17.155223880597017,18.092537313432835,18.492537313432837,18.952238805970147,19.292537313432835,20.379104477611943
14.6945281562103,2,Alaska,13.9695317103448,14.2491416507512,14.265217391304349,14.778260869565216,14.865217391304347,15.347826086956522,15.930434782608694,14.57391304347826,15.021739130434783
19.090459629418,4,Arizona,17.8471614487762,17.5261188804435,15.753333333333334,15.533333333333333,16.16,16.96,17.64,19.553333333333335,20.746666666666666
19.7142321303182,5,Arkansas,19.4304695179699,19.7430334060627,18.238666666666667,17.758666666666667,18.13866666666667,19.144,19.754666666666665,18.981333333333332,19.25733333333333
17.4266829446063,6,California,16.2443683110756,14.9526820842282,11.910344827586206,12.389655172413793,13.06551724137931,13.767241379310345,14.662068965517241,17.8,17.989655172413794
15.5429295989131,8,Colorado,14.568058875985,13.9147481563073,11.0390625,10.5609375,11.0625,11.8625,12.8109375,14.2578125,14.1265625
14.5320382080756,9,Connecticut,13.8833377386643,13.5800649596227,10.7625,10.475,10.725,11.25,11.975,12.05,11.7125
13.2306657774201,10,Delaware,13.0303175690116,13.2120045498294,11.366666666666667,11.466666666666667,11.466666666666667,11.633333333333333,11.9,12.0,12.366666666666667
15.7153120732173,11,District of Columbia,14.4767784818835,14.9957691944763,10.7,11.4,11.9,12.7,13.5,16.4595096723815,15.8
18.6745489003776,12,Florida,17.8501765853756,16.9568543936795,13.944776119402984,14.64179104477612,15.507462686567164,16.226865671641793,16.491044776119406,17.788059701492536,17.60597014925373
20.0234126422155,13,Georgia,18.8971813855823,18.7325732246068,14.847798742138366,15.71069182389937,16.447798742138364,16.99308176100629,17.939622641509434,19.516981132075472,19.80125786163522
14.5547384729526,15,Hawaii,14.1692277526677,13.8128590495807,10.85,10.575,11.425,12.35,13.275,13.675,14.025
17.3017410259403,16,Idaho,15.7959251200706,15.558861039019,11.577272727272726,12.543181818181818,13.211363636363636,13.640909090909092,14.547727272727274,16.522727272727273,16.18409090909091
15.210277452649,17,Illinois,14.2429023735841,13.6249154352132,10.918627450980393,11.038235294117648,11.579411764705881,11.936274509803921,12.316666666666666,13.556862745098039,14.561764705882352
16.3265725752127,18,Indiana,15.6585237957859,15.4159961600401,12.58695652173913,11.870652173913042,12.470652173913043,12.85,13.506521739130434,14.607608695652175,16.042391304347827
12.9190098059993,19,Iowa,12.6775022721462,12.5953916883682,9.0,10.614141414141415,11.023232323232323,11.329292929292928,11.92020202020202,12.563636363636363,12.96060606060606
15.0896581892549,20,Kansas,14.7908541687963,14.4898490198714,12.293333333333333,11.836190476190476,12.10952380952381,12.235238095238095,12.846666666666668,12.995238095238095,13.351428571428572
17.1533287743091,21,Kentucky,16.6760455344984,16.4341642597368,16.3625,15.429166666666667,15.709166666666667,15.710833333333333,16.2475,17.409166666666668,18.341666666666665
17.1470627580967,22,Louisiana,16.9104322938408,16.8123455562354,16.5359375,16.5578125,17.009375,17.2578125,17.103125,16.1828125,16.0453125
15.7071137519688,23,Maine,15.4981372141873,15.5152969731281,13.51875,13.3875,14.11875,14.74375,15.3875,15.35,16.10625
13.4035906592827,24,Maryland,13.1394633722164,12.7754049966823,11.091304347826087,10.139130434782608,10.343478260869565,11.034782608695652,11.482608695652175,11.226086956521739,11.73913043478261
12.2947335695775,25,Massachusetts,11.8835824201221,11.468253161894,8.47857142857143,9.02142857142857,9.257142857142856,10.228571428571428,10.707142857142857,10.914285714285715,11.071428571428571
17.9197700489065,26,Michigan,16.7964133654951,16.4053356120515,13.66024096385542,12.887951807228916,12.860240963855423,13.172289156626505,14.083132530120483,16.099999999999998,18.119277108433735
11.3739159914542,27,Minnesota,10.7465153809931,10.5667868304436,8.6,9.163218390804598,9.281609195402298,9.564367816091954,9.83448275862069,10.491954022988505,11.77816091954023
